Id,N_victimas,Fecha,Año,Mes,Dia de semana,Hora,Lugar_del_hecho,Tipo_de_calle,Calle,Cruce,Comuna,Xy (caba),Longitud,Latitud,Participantes,Victima_x,Acusado,Rol,Victima_y,Sexo,Edad
2016-0123,1,2016-09-14,2016,9,Miercoles,9,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,ASAMBLEA AV.,True,7.0, 101099.34592952 98750.07827754,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,FEMENINO,58.0
2016-0124,1,2016-09-16,2016,9,Viernes,15,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,RIVADAVIA AV.,True,7.0, 100053.89791316 100046.73776995,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,67.0
2016-0125,1,2016-09-17,2016,9,Sabado,12,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,AUTOPISTA PERITO MORENO,True,10.0, 97532.91184699 98538.89061454,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0126,2,2016-09-18,2016,9,Domingo,22,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,True,10.0, 94275.54271123 100886.87954649,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,AUTO,MASCULINO,37.0
2016-0126,2,2016-09-18,2016,9,Domingo,22,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,True,10.0, 94275.54271123 100886.87954649,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0
2016-0127,1,2016-09-24,2016,9,Sabado,10,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,"ACOSTA, MARIANO",True,8.0, 102048.72946345 95839.63478990,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,MASCULINO,50.0
2016-0128,1,2016-10-02,2016,10,Domingo,11,CASTRO Y AV PAVON,AVENIDA,CASTRO,True,5.0, 104049.28528337 99858.37522846,-58.41914024,-34.6305389,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,PEATON,FEMENINO,81.0
2016-0130,1,2016-10-04,2016,10,Jueves,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,1.0, 107720.24059557 100176.85101454,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,29.0
2016-0131,1,2016-10-09,2016,10,Domingo,19,MIRAVE 3500,CALLE,MIRAVE,False,4.0, 105921.45515383 98209.53178328,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,35.0
2016-0132,1,2016-10-10,2016,10,Lunes,2,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,SAN JUAN AV.,True,3.0, 104853.84131654 100497.93573387,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0
2016-0133,1,2016-10-14,2016,10,Viernes,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,LAS HERAS GENERAL AV.,True,14.0, 105619.82089682 105083.85914124,-58.40204698,-34.5834269,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,41.0
2016-0134,1,2016-10-23,2016,10,Domingo,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,PIEDRA BUENA AV.,True,8.0, 97612.37609226 94761.81268260,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,25.0
2016-0135,1,2016-10-24,2016,10,Lunes,5,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",True,14.0, 103734.76257993 107235.78328415,-58.42260225,-34.56403694,PEATON-SD,PEATON,SD,PEATON,PEATON,MASCULINO,29.0
2016-0136,1,2016-10-25,2016,10,Jueves,0,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,False,4.0, . .,-58.3536949,-34.63163,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,SD,
2016-0137,1,2016-10-25,2016,10,Jueves,0,AV SAN MARTIN Y LADINES,AVENIDA,SAN MARTIN AV.,True,11.0, 95222.93546397 104315.24453153,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0138,1,2016-10-27,2016,10,Martes,20,AV CABILDO Y BLANCO ENCALADA,AVENIDA,CABILDO AV.,True,13.0, 100385.69739031 107770.04028070,-58.4590967,-34.55922742,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,BICICLETA,FEMENINO,33.0
